entity_type,recommendation,id_a,label_a,id_b,label_b,similarity,reason
Microbe,verify-taxonomy,LLM:lactiplantibacillus_plantarum,Lactiplantibacillus plantarum,LLM:lactiplantibacillus_plantarum_qs7t,Lactiplantibacillus plantarum QS7T,92.1,[] vs ['qs7t'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactiplantibacillus_plantarum,Lactiplantibacillus plantarum,LLM:lactiplantibacillus_plantarum_scs2,Lactiplantibacillus plantarum SCS2,92.1,[] vs ['scs2'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,NCBITaxon:239935,Akkermansia muciniphila,LLM:akkermansia_muciniphila_one,Akkermansia muciniphila ONE,92.0,[] vs ['one'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,NCBITaxon:1613,Lactobacillus fermentum,LLM:lactobacillus_fermentum_016,Lactobacillus fermentum 016,92.0,[] vs ['016'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_paracasei,Lactobacillus paracasei,LLM:lactobacillus_paracasei_f19,Lactobacillus paracasei F19,92.0,[] vs ['f19'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum,Lactobacillus plantarum,LLM:lactobacillus_plantarum_an1,Lactobacillus plantarum AN1,92.0,[] vs ['an1'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum,Lactobacillus plantarum,LLM:lactobacillus_plantarum_l15,Lactobacillus plantarum L15,92.0,[] vs ['l15'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum_ms1,Lactobacillus plantarum MS1,LLM:lactobacillus_plantarum,Lactobacillus plantarum,92.0,['ms1'] vs [] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum_n13,Lactobacillus plantarum N13,LLM:lactobacillus_plantarum,Lactobacillus plantarum,92.0,['n13'] vs [] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum_ys3,Lactobacillus plantarum YS3,LLM:lactobacillus_plantarum,Lactobacillus plantarum,92.0,['ys3'] vs [] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:bacteroides_cellulosilyticus,Bacteroides cellulosilyticus,LLM:bacteroides_cellulosilyticus_lyh2,Bacteroides cellulosilyticus LYH2,91.8,[] vs ['lyh2'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lacticaseibacillus_rhamnosus,Lacticaseibacillus rhamnosus,LLM:lacticaseibacillus_rhamnosus_ms27,Lacticaseibacillus rhamnosus MS27,91.8,[] vs ['ms27'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,NCBITaxon:469,Acinetobacter,LLM:acinobacter,Acinobacter,91.7,['acinetobacter'] vs ['acinobacter'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,NCBITaxon:1654,Actinomyces,LLM:actinomycetes,Actinomycetes,91.7,['actinomyce'] vs ['actinomycete'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,NCBITaxon:1402,Bacillus licheniformis,LLM:bacillus_paralicheniformis,Bacillus paralicheniformis,91.7,['licheniformi'] vs ['paralicheniformi'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,NCBITaxon:216816,Bifidobacterium longum,LLM:bifidobacterium_longum_51a,Bifidobacterium longum 51A,91.7,[] vs ['51a'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,NCBITaxon:626937,Christensenella minuta,LLM:christensenellaceae_minuta,Christensenellaceae minuta,91.7,['christensenella'] vs ['christensenellaceae'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactiplantibacillus_plantarum_bw2013,Lactiplantibacillus plantarum BW2013,LLM:lactiplantibacillus_plantarum_fbt215,Lactiplantibacillus plantarum FBT215,91.7,['bw2013'] vs ['fbt215'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:limosilactobacillus_reuteri,Limosilactobacillus reuteri,LLM:limosilactobacillus_reuteri_r2lc,Limosilactobacillus reuteri R2LC,91.5,[] vs ['r2lc'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:bifidobacterium_animalis_subsp_lactis,Bifidobacterium animalis subsp. lactis,LLM:bifidobacterium_animalis_subsp_lactis_lkm512,Bifidobacterium animalis subsp. lactis LKM512,91.4,[] vs ['lkm512'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:bifidobacterium_animalis_subsp_lactis,Bifidobacterium animalis subsp. lactis,LLM:bifidobacterium_animalis_subsp_lactis_xltg11,Bifidobacterium animalis subsp. lactis XLTG11,91.4,[] vs ['xltg11'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactiplantibacillus_plantarum_as21,Lactiplantibacillus plantarum AS21,LLM:lactiplantibacillus_plantarum_bw2013,Lactiplantibacillus plantarum BW2013,91.4,['as21'] vs ['bw2013'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactiplantibacillus_plantarum_as21,Lactiplantibacillus plantarum AS21,LLM:lactiplantibacillus_plantarum_fbt215,Lactiplantibacillus plantarum FBT215,91.4,['as21'] vs ['fbt215'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactiplantibacillus_plantarum_scs2,Lactiplantibacillus plantarum SCS2,LLM:lactiplantibacillus_plantarum_sffi23,Lactiplantibacillus plantarum SFFI23,91.4,['scs2'] vs ['sffi23'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_gasseri,Lactobacillus gasseri,LLM:lactobacillus_gasseri_jm1,Lactobacillus gasseri JM1,91.3,[] vs ['jm1'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_murinus,Lactobacillus murinus,LLM:ligilactobacillus_murinus,Ligilactobacillus murinus,91.3,['lactobacillu'] vs ['ligilactobacillu'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:ruminococcaceae_ucg-002,Ruminococcaceae UCG-002,LLM:ruminococcaceae_ucg-013,Ruminococcaceae UCG-013,91.3,['002'] vs ['013'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:ruminococcaceae_ucg-002,Ruminococcaceae UCG-002,LLM:ruminococcaceae_ucg-014,Ruminococcaceae UCG-014,91.3,['002'] vs ['014'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:beneficial_gut_microbiota,beneficial gut microbiota,LLM:beneficial_microbiota,beneficial microbiota,91.3,['gut'] vs [] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactiplantibacillus_plantarum_qs7t,Lactiplantibacillus plantarum QS7T,LLM:lactiplantibacillus_plantarum_scs2,Lactiplantibacillus plantarum SCS2,91.2,['qs7t'] vs ['scs2'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_acidophilus_c4,Lactobacillus acidophilus C4,LLM:lactobacillus_acidophilus_la1,Lactobacillus acidophilus LA1,91.2,['c4'] vs ['la1'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum_an1,Lactobacillus plantarum AN1,LLM:lactobacillus_plantarum_ar17-1,Lactobacillus plantarum AR17-1,91.2,"['an1'] vs ['1', 'ar17'] (resolve against NCBI Taxonomy)"
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum_lp90,Lactobacillus plantarum LP90,LLM:lactobacillus_plantarum_lr002,Lactobacillus plantarum LR002,91.2,['lp90'] vs ['lr002'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum_zj316,Lactobacillus plantarum ZJ316,LLM:lactobacillus_plantarum_zs62,Lactobacillus plantarum ZS62,91.2,['zj316'] vs ['zs62'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:limosilactobacillus_fermentum_im57,Limosilactobacillus fermentum IM57,LLM:limosilactobacillus_fermentum_ir62,Limosilactobacillus fermentum IR62,91.2,['im57'] vs ['ir62'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,NCBITaxon:821,Bacteroides vulgatus,LLM:bacteroides_vulgatus_7k1,Bacteroides vulgatus 7K1,90.9,[] vs ['7k1'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:bifidobacterium_animalis_ssp_lactis_5764,Bifidobacterium animalis ssp. lactis 5764,LLM:bifidobacterium_animalis_subsp_lactis,Bifidobacterium animalis subsp. lactis,90.9,"['5764', 'ssp'] vs ['subsp'] (resolve against NCBI Taxonomy)"
Microbe,verify-taxonomy,NCBITaxon:990721,Christensenella,LLM:christensenellales,Christensenellales,90.9,['christensenella'] vs ['christensenellale'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:clostridia,Clostridia,LLM:clostridicae,Clostridicae,90.9,['clostridia'] vs ['clostridicae'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lachnospiraceae_bacterium,Lachnospiraceae bacterium,LLM:lachnospiraceae_bacterium_coe1,Lachnospiraceae bacterium COE1,90.9,[] vs ['coe1'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_acidophilus,Lactobacillus acidophilus,LLM:lactobacillus_acidophilus_la85,Lactobacillus acidophilus LA85,90.9,[] vs ['la85'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_acidophilus,Lactobacillus acidophilus,LLM:lactobacillus_acidophilus_ncfm,Lactobacillus acidophilus NCFM,90.9,[] vs ['ncfm'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_acidophilus,Lactobacillus acidophilus,LLM:lactobacillus_acidophilus_xy27,Lactobacillus acidophilus XY27,90.9,[] vs ['xy27'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum_03,Lactobacillus plantarum 03,LLM:lactobacillus_plantarum_06cc2,Lactobacillus plantarum 06CC2,90.9,['03'] vs ['06cc2'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum_06cc2,Lactobacillus plantarum 06CC2,LLM:lactobacillus_plantarum-12,Lactobacillus plantarum-12,90.9,['06cc2'] vs ['12'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum_17-1,Lactobacillus plantarum 17-1,LLM:lactobacillus_plantarum_an1,Lactobacillus plantarum AN1,90.9,"['1', '17'] vs ['an1'] (resolve against NCBI Taxonomy)"
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum_17-1,Lactobacillus plantarum 17-1,LLM:lactobacillus_plantarum_l15,Lactobacillus plantarum L15,90.9,"['1', '17'] vs ['l15'] (resolve against NCBI Taxonomy)"
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum_js19,Lactobacillus plantarum JS19,LLM:lactobacillus_plantarum_an1,Lactobacillus plantarum AN1,90.9,['js19'] vs ['an1'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum_js19,Lactobacillus plantarum JS19,LLM:lactobacillus_plantarum_l15,Lactobacillus plantarum L15,90.9,['js19'] vs ['l15'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum_lac16,Lactobacillus plantarum Lac16,LLM:lactobacillus_plantarum_06,Lactobacillus plantarum 06,90.9,['lac16'] vs ['06'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum_lac16,Lactobacillus plantarum Lac16,LLM:lactobacillus_plantarum-12,Lactobacillus plantarum-12,90.9,['lac16'] vs ['12'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum_ys3,Lactobacillus plantarum YS3,LLM:lactobacillus_plantarum_zs62,Lactobacillus plantarum ZS62,90.9,['ys3'] vs ['zs62'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,NCBITaxon:59823,Prevotella,LLM:prevotella_9,Prevotella_9,90.9,[] vs ['9'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:bifidobacterium_longum_3-14,Bifidobacterium longum 3-14,LLM:bifidobacterium_longum_51a,Bifidobacterium longum 51A,90.6,"['14', '3'] vs ['51a'] (resolve against NCBI Taxonomy)"
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum_03,Lactobacillus plantarum 03,LLM:lactobacillus_plantarum_an1,Lactobacillus plantarum AN1,90.6,['03'] vs ['an1'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_salivarius,Lactobacillus salivarius,LLM:lactobacillus_salivarius_mz27,Lactobacillus salivarius MZ27,90.6,[] vs ['mz27'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,NCBITaxon:990719,Christensenellaceae,LLM:christensenellaceae_r-7,Christensenellaceae R-7,90.5,"[] vs ['7', 'r'] (resolve against NCBI Taxonomy)"
Microbe,verify-taxonomy,LLM:beneficial_bacteria,beneficial bacteria,LLM:beneficial_gut_bacteria,beneficial gut bacteria,90.5,[] vs ['gut'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:beneficial_bacteria,beneficial bacteria,LLM:gut-beneficial_bacteria,gut-beneficial bacteria,90.5,[] vs ['gut'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:beneficial_gut_microbes,beneficial gut microbes,LLM:beneficial_microbes,beneficial microbes,90.5,['gut'] vs [] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:bifidobacteriales,Bifidobacteriales,LLM:bifidobacteria,bifidobacteria,90.3,['bifidobacteriale'] vs ['bifidobacterium'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,NCBITaxon:501571,Butyricicoccus pullicaecorum,LLM:butyricicoccus_pullicaecorum_25-3t,Butyricicoccus pullicaecorum 25-3T,90.3,"[] vs ['25', '3t'] (resolve against NCBI Taxonomy)"
Microbe,verify-taxonomy,LLM:clostridium_xiv,Clostridium XIV,LLM:clostridium_xlvb,Clostridium XlVb,90.3,['xiv'] vs ['xlvb'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:clostridium_xivalpha,Clostridium XIVα,LLM:clostridium_xlvb,Clostridium XlVb,90.3,"['alpha', 'xiv'] vs ['xlvb'] (resolve against NCBI Taxonomy)"
Microbe,verify-taxonomy,LLM:lacticaseibacillus_rhamnosus,Lacticaseibacillus rhamnosus,LLM:lacticaseibacillus_rhamnosus_lra05,Lacticaseibacillus rhamnosus LRa05,90.3,[] vs ['lra05'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,NCBITaxon:81850,Leuconostocaceae,LLM:leuconostraceae,Leuconostraceae,90.3,['leuconostocaceae'] vs ['leuconostraceae'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:bifidobacterium_animalis_ssp_lactis_5764,Bifidobacterium animalis ssp. lactis 5764,LLM:bifidobacterium_animalis_ssp_lactis_bx-245,Bifidobacterium animalis ssp. lactis BX-245,90.2,"['5764'] vs ['245', 'bx'] (resolve against NCBI Taxonomy)"
Microbe,verify-taxonomy,NCBITaxon:1681,Bifidobacterium bifidum,LLM:bifidobacterium_bifidum_bd-1,Bifidobacterium bifidum BD-1,90.2,"[] vs ['1', 'bd'] (resolve against NCBI Taxonomy)"
Microbe,verify-taxonomy,NCBITaxon:1681,Bifidobacterium bifidum,LLM:bifidobacterium_bifidum_bgn4,Bifidobacterium bifidum BGN4,90.2,[] vs ['bgn4'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,NCBITaxon:1681,Bifidobacterium bifidum,LLM:bifidobacterium_bifidum_g9-1,Bifidobacterium bifidum G9-1,90.2,"[] vs ['1', 'g9'] (resolve against NCBI Taxonomy)"
Microbe,verify-taxonomy,NCBITaxon:1681,Bifidobacterium bifidum,LLM:bifidobacterium_bifidum_m1-3,Bifidobacterium bifidum M1-3,90.2,"[] vs ['3', 'm1'] (resolve against NCBI Taxonomy)"
Microbe,verify-taxonomy,NCBITaxon:1681,Bifidobacterium bifidum,LLM:bifidobacterium_bifidum_pi22,Bifidobacterium bifidum PI22,90.2,[] vs ['pi22'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:escherichia_coli_nissle,Escherichia coli Nissle,LLM:escherichia_coli_nissle_1917,Escherichia coli Nissle 1917,90.2,[] vs ['1917'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,NCBITaxon:1613,Lactobacillus fermentum,LLM:lactobacillus_fermentum_zs40,Lactobacillus fermentum ZS40,90.2,[] vs ['zs40'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_johnsonii,Lactobacillus johnsonii,LLM:lactobacillus_johnsonii_rs-7,Lactobacillus johnsonii RS-7,90.2,"[] vs ['7', 'rs'] (resolve against NCBI Taxonomy)"
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum_17-1,Lactobacillus plantarum 17-1,LLM:lactobacillus_plantarum,Lactobacillus plantarum,90.2,"['1', '17'] vs [] (resolve against NCBI Taxonomy)"
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum_69-2,Lactobacillus plantarum 69-2,LLM:lactobacillus_plantarum,Lactobacillus plantarum,90.2,"['2', '69'] vs [] (resolve against NCBI Taxonomy)"
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum_js19,Lactobacillus plantarum JS19,LLM:lactobacillus_plantarum,Lactobacillus plantarum,90.2,['js19'] vs [] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum_lp90,Lactobacillus plantarum LP90,LLM:lactobacillus_plantarum,Lactobacillus plantarum,90.2,['lp90'] vs [] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_plantarum_zs62,Lactobacillus plantarum ZS62,LLM:lactobacillus_plantarum,Lactobacillus plantarum,90.2,['zs62'] vs [] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_rhamnosus,Lactobacillus rhamnosus,LLM:lactobacillus_rhamnosus_cy12,Lactobacillus rhamnosus CY12,90.2,[] vs ['cy12'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_rhamnosus,Lactobacillus rhamnosus,LLM:lactobacillus_rhamnosus_m3_1,Lactobacillus rhamnosus M3 (1),90.2,"[] vs ['1', 'm3'] (resolve against NCBI Taxonomy)"
Microbe,verify-taxonomy,LLM:pediococcus_pentosaceus,Pediococcus pentosaceus,LLM:pediococcus_pentosaceus_li05,Pediococcus pentosaceus LI05,90.2,[] vs ['li05'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_acidophilus_c4,Lactobacillus acidophilus C4,LLM:lactobacillus_acidophilus_kbl402,Lactobacillus acidophilus KBL402,90.0,['c4'] vs ['kbl402'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactobacillus_casei,Lactobacillus casei,LLM:lactobacillus_gasseri,Lactobacillus gasseri,90.0,['casei'] vs ['gasseri'] (resolve against NCBI Taxonomy)
Microbe,verify-taxonomy,LLM:lactococcus_lactis,Lactococcus lactis,BOLTE_MICROBE_CLUSTER:S20_Lactococcus_lactis,S20_Lactococcus lactis,90.0,[] vs ['s20'] (resolve against NCBI Taxonomy)
Bioactive,uncertain,CHEBI:18305,Arbutin,LLM:beta-arbutin,β-arbutin,100.0,extra term ['beta']
Food,uncertain,LLM:dehydrocostus_lactone,dehydrocostus lactone,LLM:dehydrocostuslactone,dehydrocostuslactone,97.6,"multiple tokens differ: ['dehydrocostu', 'lactone'] vs ['dehydrocostuslactone']"
Bioactive,uncertain,LLM:indol-3-carbinol,indol-3-carbinol,LLM:indole-3-carbinol,indole-3-carbinol,97.0,one token differs: indol/indole
Bioactive,uncertain,LLM:ethyl_citrate,ethyl citrate,LLM:methyl_citrate,methyl citrate,96.3,one token differs: ethyl/methyl
Bioactive,uncertain,LLM:auricularia_auricula_exopolysaccharide,Auricularia auricula exopolysaccharide,LLM:auricularia_auricula_polysaccharide,Auricularia auricula polysaccharide,95.9,one token differs: exopolysaccharide/polysaccharide
Food,uncertain,LLM:b-type_resistant_starch,B-type resistant starch,LLM:resistant_starch_type_2,Resistant starch type 2,95.7,one token differs: b/2
Food,uncertain,LLM:b-type_resistant_starch,B-type resistant starch,LLM:resistant_starch_type_5,Resistant starch type 5,95.7,one token differs: b/5
Bioactive,uncertain,CHEBI:18300,Maleic acid,LLM:malic_acid,malic acid,95.2,one token differs: maleic/malic
Food,uncertain,LLM:lacticaseibacillus_paracasei_18,Lacticaseibacillus paracasei 18,LLM:lacticaseibacillus_paracasei_l21,Lacticaseibacillus paracasei L21,95.2,one token differs: 18/l21
Food,uncertain,LLM:vitamin_d,vitamin D,LLM:vitamin_d3,vitamin D3,94.7,one token differs: d/d3
IBD_Outcome,uncertain,LLM:colon_inflammation,colon inflammation,LLM:colonic_inflammation,colonic inflammation,94.7,one token differs: colon/colonic
IBD_Outcome,uncertain,LLM:intestinal_barrier_dysfunction,intestinal barrier dysfunction,LLM:intestinal_barrier_function,intestinal barrier function,94.7,one token differs: dysfunction/function
Bioactive,uncertain,LLM:maggot_polysaccharide_mp-80,maggot polysaccharide MP-80,LLM:maggot_polysaccharide_mp-l,maggot polysaccharide MP-L,94.3,one token differs: 80/l
Bioactive,uncertain,LLM:pine_pollen_polysaccharide_ppm60,Pine pollen polysaccharide (PPM60),LLM:pine_pollen_polysaccharide_ppm60-iii,pine pollen polysaccharide PPM60-III,94.1,extra term ['iii']
Food,uncertain,LLM:lactiplantibacillus_plantarum_d13,Lactiplantibacillus plantarum D13,LLM:lactiplantibacillus_plantarum_l15,Lactiplantibacillus plantarum L15,93.9,one token differs: d13/l15
Food,uncertain,LLM:oat_bran_insoluble_dietary_fiber,oat bran insoluble dietary fiber,LLM:wheat_bran_insoluble_dietary_fiber,wheat bran insoluble dietary fiber,93.9,one token differs: oat/wheat
Bioactive,uncertain,LLM:3-hydroxybutyrate,3-Hydroxybutyrate,LLM:beta-hydroxybutyrate,β-Hydroxybutyrate,93.8,one token differs: 3/beta
Bioactive,uncertain,LLM:dendrobium_huoshanense_polysaccharide,Dendrobium huoshanense polysaccharide,LLM:dendrobium_huoshanense_stem_polysaccharide,Dendrobium huoshanense stem polysaccharide,93.7,extra term ['stem']
Bioactive,uncertain,LLM:magnolol-whey_protein_isolate-tremella_fuciformis_polysaccharides_emulsion,magnolol-whey protein isolate-Tremella fuciformis polysaccharides emulsion,LLM:whey_protein_isolate-tremella_fuciformis_polysaccharides_emulsion,whey protein isolate-Tremella fuciformis polysaccharides emulsion,93.5,extra term ['magnolol']
Food,uncertain,LLM:crohn_s_disease_exclusion_diet_plus_partial_enteral_nutrition,Crohn's Disease Exclusion Diet plus partial enteral nutrition,LLM:crohn_s_disease_exclusion_diet_with_partial_enteral_nutrition,Crohn's Disease Exclusion Diet with Partial Enteral Nutrition,93.4,one token differs: plu/with
Bioactive,uncertain,LLM:ganoderic_acid,ganoderic acid,LLM:ganoderic_acid_a,ganoderic acid A,93.3,extra term ['a']
Bioactive,uncertain,LLM:polysaccharide,polysaccharide,LLM:polysaccharide_a,polysaccharide A,93.3,extra term ['a']
Food,uncertain,LLM:ginsenoside_rb3,Ginsenoside Rb3,LLM:ginsenoside_rk3,Ginsenoside Rk3,93.3,one token differs: rb3/rk3
Food,uncertain,LLM:ginsenoside_rb3,Ginsenoside Rb3,LLM:ginsenoside_rg3,ginsenoside Rg3,93.3,one token differs: rb3/rg3
Food,uncertain,LLM:ginsenoside_rk3,Ginsenoside Rk3,LLM:ginsenoside_rg3,ginsenoside Rg3,93.3,one token differs: rk3/rg3
Food,uncertain,LLM:ginsenoside_rk3,Ginsenoside Rk3,LLM:ginsenoside_rk2,ginsenoside Rk2,93.3,one token differs: rk3/rk2
Food,uncertain,LLM:ginsenoside_rg1,ginsenoside Rg1,LLM:ginsenoside_rg3,ginsenoside Rg3,93.3,one token differs: rg1/rg3
Food,uncertain,LLM:ginsenoside_rh2,ginsenoside Rh2,LLM:ginsenoside_rk2,ginsenoside Rk2,93.3,one token differs: rh2/rk2
Food,uncertain,LLM:goat_milk-derived_extracellular_vesicles,goat milk-derived extracellular vesicles,LLM:milk-derived_extracellular_vesicles,milk-derived extracellular vesicles,93.3,extra term ['goat']
IBD_Outcome,uncertain,LLM:ulcerative_colitis_non-remission,ulcerative colitis non-remission,LLM:ulcerative_colitis_remission,ulcerative colitis remission,93.3,extra term ['non']
Bioactive,uncertain,LLM:atractylodes_macrocephala_koidz_polysaccharide,Atractylodes macrocephala Koidz polysaccharide,LLM:atractylodes_macrocephala_polysaccharide,Atractylodes macrocephala polysaccharide,93.0,extra term ['koidz']
IBD_Outcome,uncertain,LLM:irritable_bowel_syndrome_diarrhea,irritable bowel syndrome diarrhea,LLM:irritable_bowel_syndrome_with_diarrhea,irritable bowel syndrome with diarrhea,93.0,extra term ['with']
Bioactive,uncertain,LLM:taurodeoxycholic_acid,taurodeoxycholic acid,LLM:ursodeoxycholic_acid,ursodeoxycholic acid,92.7,one token differs: taurodeoxycholic/ursodeoxycholic
Bioactive,uncertain,LLM:moringa_oleifera_leaf_polysaccharide,Moringa oleifera leaf polysaccharide,LLM:moringa_oleifera_polysaccharide,Moringa oleifera polysaccharide,92.5,extra term ['leaf']
Food,uncertain,LLM:lactiplantibacillus_plantarum_1201,Lactiplantibacillus plantarum 1201,LLM:lactiplantibacillus_plantarum_d13,Lactiplantibacillus plantarum D13,92.5,one token differs: 1201/d13
Food,uncertain,LLM:lactiplantibacillus_plantarum_1201,Lactiplantibacillus plantarum 1201,LLM:lactiplantibacillus_plantarum_l15,Lactiplantibacillus plantarum L15,92.5,one token differs: 1201/l15
Food,uncertain,LLM:lacticaseibacillus_paracasei_6235,Lacticaseibacillus paracasei 6235,LLM:lacticaseibacillus_paracasei_l21,Lacticaseibacillus paracasei L21,92.3,one token differs: 6235/l21
Food,uncertain,LLM:lacticaseibacillus_rhamnosus_g7,Lacticaseibacillus rhamnosus G7,LLM:lacticaseibacillus_rhamnosus_grx10,Lacticaseibacillus rhamnosus grx10,92.3,one token differs: g7/grx10
Food,uncertain,LLM:nc_gut_relief_formula,NC Gut Relief Formula,LLM:gut_relief_formula,gut relief formula,92.3,extra term ['nc']
Food,uncertain,LLM:brown_sorghum_grain_ethanolic_phenolic_extract,brown sorghum grain ethanolic phenolic extract,LLM:brown_sorghum_leaf_ethanolic_phenolic_extract,brown sorghum leaf ethanolic phenolic extract,92.3,one token differs: grain/leaf
Bioactive,uncertain,LLM:lactobacillus_plantarum_q7_extracellular_vesicles,Lactobacillus plantarum Q7 extracellular vesicles,LLM:lactobacillus_plantarum_ujs001_extracellular_vesicles,Lactobacillus plantarum UJS001 extracellular vesicles,92.2,one token differs: q7/ujs001
Food,uncertain,LLM:high_dietary_protein,high dietary protein,LLM:high-protein_diet,high-protein diet,91.9,one token differs: dietary/diet
IBD_Outcome,uncertain,LLM:inflammatory_bowel_disease_with_primary_sclerosing_cholangitis,inflammatory bowel disease with primary sclerosing cholangitis,LLM:primary_sclerosing_cholangitis_associated_with_inflammatory_bowel_disease,primary sclerosing cholangitis associated with inflammatory bowel disease,91.9,extra term ['associated']
IBD_Outcome,uncertain,LLM:primary_sclerosing_cholangitis_associated_with_inflammatory_bowel_disease,primary sclerosing cholangitis associated with inflammatory bowel disease,LLM:primary_sclerosing_cholangitis_with_inflammatory_bowel_disease,primary sclerosing cholangitis with inflammatory bowel disease,91.9,extra term ['associated']
